subject,n_windows,unstable_window_fraction,alignment_mean_p05,jackknife_instability_p95,split_score_p95,outlier_score_p95,dominant_best_split_partition,dominant_outlier_modality
shhs1-200201,95,0.0,0.6145707964897156,0.0821806862950325,0.1691663861274719,0.1496846675872802,BAS+RESP|EKG+EMG,EKG
shhs1-200308,95,0.0,0.5746560096740723,0.0919645652174949,0.181300863623619,0.1090242713689804,BAS+RESP|EKG+EMG,RESP
shhs1-200363,98,0.0,0.5902988314628601,0.0882532522082328,0.185631662607193,0.1510319113731384,BAS+RESP|EKG+EMG,BAS
shhs1-201808,107,0.0,0.5913973450660706,0.0881530418992042,0.1892858147621154,0.1159505546092987,BAS+RESP|EKG+EMG,BAS
shhs1-200386,102,0.0,0.5963566303253174,0.0869415774941444,0.1903567016124725,0.1241050362586975,BAS+RESP|EKG+EMG,RESP
shhs1-203065,105,0.0,0.6595437526702881,0.0717302113771438,0.1924113482236862,0.0961303263902664,BAS+RESP|EKG+EMG,BAS
shhs1-201044,101,0.0,0.5812631249427795,0.0904746800661087,0.1978465318679809,0.1413405239582061,BAS+RESP|EKG+EMG,BAS
shhs1-200426,104,0.0,0.6178945899009705,0.0813436806201934,0.197960153222084,0.1187457889318466,BAS+RESP|EKG+EMG,RESP
shhs1-203643,99,0.0,0.578075110912323,0.0913803949952125,0.2008196115493774,0.1483592242002487,BAS+RESP|EKG+EMG,BAS
shhs1-205255,89,0.0,0.6367995738983154,0.0769349485635757,0.2108764052391052,0.1625669002532959,BAS+RESP|EKG+EMG,BAS
shhs1-200281,108,0.0,0.6037935018539429,0.0854581296443939,0.2131946235895156,0.164193570613861,BAS+RESP|EKG+EMG,BAS
shhs1-200105,60,0.0,0.5977656245231628,0.0858106911182403,0.2155260145664215,0.1635114848613739,BAS+RESP|EKG+EMG,BAS
shhs1-201675,105,0.0,0.5957293510437012,0.0869451388716697,0.2179699093103408,0.1598303765058517,BAS+RESP|EKG+EMG,BAS
shhs1-203408,95,0.0,0.5838262438774109,0.089638203382492,0.2221241295337677,0.1379525363445282,BAS+RESP|EKG+EMG,EKG
shhs1-202198,101,0.0,0.6100306510925293,0.0833937749266624,0.2234191298484802,0.145666241645813,BAS+RESP|EKG+EMG,BAS
