subject,n_windows,unstable_window_fraction,alignment_mean_p05,jackknife_instability_p95,split_score_p95,outlier_score_p95,dominant_best_split_partition,dominant_outlier_modality
shhs1-202277,90,0.9333333333333332,0.5315935015678406,0.0998772904276847,0.4527839422225952,0.2203533500432968,BAS+RESP|EKG+EMG,BAS
shhs1-203325,105,0.9142857142857144,0.6813360452651978,0.066116988658905,0.2713832557201385,0.3252107799053192,BAS+RESP|EKG+EMG,RESP
shhs1-202363,89,0.9101123595505618,0.4474827647209167,0.1230210065841674,0.3200629651546478,0.217910423874855,BAS+RESP|EKG+EMG,EKG
shhs1-204670,95,0.9052631578947368,0.5445643067359924,0.09485774487257,0.4890984296798706,0.1895759105682373,BAS+RESP|EKG+EMG,BAS
shhs1-201542,105,0.9047619047619048,0.4193514883518219,0.1313488483428955,0.2864307761192322,0.1839926391839981,BAS+RESP|EKG+EMG,BAS
shhs1-204852,106,0.8962264150943396,0.4838687479496002,0.1133736819028854,0.477180540561676,0.1871415078639984,BAS+RESP|EKG+EMG,BAS
shhs1-201515,105,0.8952380952380953,0.573604166507721,0.0893522799015045,0.4331957697868347,0.2289320826530456,BAS+RESP|EKG+EMG,BAS
shhs1-203373,105,0.8857142857142857,0.4612375795841217,0.1194448843598365,0.2778900861740112,0.1605869233608245,BAS+RESP|EKG+EMG,BAS
shhs1-203347,96,0.8854166666666666,0.4372282922267914,0.1263550817966461,0.266436219215393,0.2442269027233123,BAS+RESP|EKG+EMG,EMG
shhs1-201760,108,0.8703703703703703,0.5575032830238342,0.0914336517453193,0.5303804278373718,0.1549027860164642,BAS+RESP|EKG+EMG,BAS
shhs1-204681,106,0.8679245283018868,0.4707846939563751,0.1179831176996231,0.2585124671459198,0.1932543814182281,BAS+RESP|EKG+EMG,BAS
shhs1-204712,106,0.8490566037735849,0.5532122850418091,0.0952037721872329,0.4257924854755401,0.244333416223526,BAS+RESP|EKG+EMG,BAS
shhs1-204927,106,0.8490566037735849,0.4288207590579986,0.1275313943624496,0.3026610314846039,0.1295091658830642,BAS+RESP|EKG+EMG,EMG
shhs1-202104,101,0.8415841584158416,0.4625851511955261,0.1187900677323341,0.3225250840187073,0.2369997799396515,BAS+RESP|EKG+EMG,BAS
shhs1-202636,105,0.8380952380952381,0.4927658140659332,0.1120268553495407,0.4793592989444732,0.1935628652572631,BAS+RESP|EKG+EMG,BAS
shhs1-205363,90,0.8333333333333334,0.4634461104869842,0.1181696355342865,0.3353192508220672,0.259048730134964,BAS+RESP|EKG+EMG,EMG
shhs1-204371,101,0.8316831683168316,0.5114774703979492,0.1050813123583793,0.423414021730423,0.2153691351413726,BAS+RESP|EKG+EMG,BAS
shhs1-202572,105,0.8285714285714286,0.456262856721878,0.1194486021995544,0.3579479455947876,0.1818398833274841,BAS+RESP|EKG+EMG,BAS
shhs1-203826,105,0.819047619047619,0.5863385796546936,0.0849336460232734,0.4550628960132599,0.1975693851709365,BAS+RESP|EKG+EMG,BAS
shhs1-201422,105,0.819047619047619,0.4804834723472595,0.1156934648752212,0.405433714389801,0.1810702383518219,BAS+RESP|EKG+EMG,EKG
