target,metric,correlation
mi,consensus_norm_mean,0.07925632404076287
mi,alignment_mean,0.07881808118104792
mi,alignment_mean_p05,0.0854899808139484
mi,jackknife_instability_mean,-0.08441349790188256
mi,jackknife_instability_p95,-0.09083962123961668
mi,split_score_mean,0.05613827060703464
mi,split_score_p95,0.042000107355642455
mi,outlier_score_mean,-0.03959564955485664
mi,outlier_score_p95,-0.03765533273391706
mi,unstable_window_fraction,-0.03243695163321017
stroke,consensus_norm_mean,0.049327179397081276
stroke,alignment_mean,0.04863648577240352
stroke,alignment_mean_p05,0.05697187005764786
stroke,jackknife_instability_mean,-0.0549466094254955
stroke,jackknife_instability_p95,-0.06294247411315533
stroke,split_score_mean,0.07376931647721315
stroke,split_score_p95,0.0648813312957443
stroke,outlier_score_mean,-0.06812211976071536
stroke,outlier_score_p95,-0.04955325654444348
stroke,unstable_window_fraction,-0.016918743706789932
chf,consensus_norm_mean,0.015104460859934223
chf,alignment_mean,0.014935982445134189
chf,alignment_mean_p05,0.026147726905540222
chf,jackknife_instability_mean,-0.021336508551764753
chf,jackknife_instability_p95,-0.032732362690529364
chf,split_score_mean,0.07433917276187922
chf,split_score_p95,0.07144287901719742
chf,outlier_score_mean,-0.035699227798073135
chf,outlier_score_p95,-0.02274643899253271
chf,unstable_window_fraction,0.016416983211699803
cvd_death,consensus_norm_mean,0.008888629131300606
cvd_death,alignment_mean,0.0086353316323477
cvd_death,alignment_mean_p05,0.017338023893644205
cvd_death,jackknife_instability_mean,-0.014895016435089012
cvd_death,jackknife_instability_p95,-0.02376443060199367
cvd_death,split_score_mean,0.07394720291489829
cvd_death,split_score_p95,0.07330980236119518
cvd_death,outlier_score_mean,-0.03752041637656193
cvd_death,outlier_score_p95,-0.02194357868434299
cvd_death,unstable_window_fraction,0.02317531816988908
chd_death,consensus_norm_mean,0.003972189696150296
chd_death,alignment_mean,0.0038086610388159523
chd_death,alignment_mean_p05,0.013840015988135989
chd_death,jackknife_instability_mean,-0.010160287885871507
chd_death,jackknife_instability_p95,-0.020433451461946465
chd_death,split_score_mean,0.07516100846197565
chd_death,split_score_p95,0.07480822954698442
chd_death,outlier_score_mean,-0.033441587299853
chd_death,outlier_score_p95,-0.01898387758431046
chd_death,unstable_window_fraction,0.02693925984497252
angina,consensus_norm_mean,-0.08495093359677333
angina,alignment_mean,-0.08454971234122852
angina,alignment_mean_p05,-0.07598790409612438
angina,jackknife_instability_mean,0.08062945214185459
angina,jackknife_instability_p95,0.07096339043840105
angina,split_score_mean,0.04061006380801559
angina,split_score_p95,0.05998117022131076
angina,outlier_score_mean,0.001175615064994841
angina,outlier_score_p95,0.04377454806549946
angina,unstable_window_fraction,0.07887293368913789
